Skills
c
html
css
javascript
tableau
jquery
bootstrap
git
sass
less
stylus
angularjs
django
angular
react
vuejs
meteor
node.js
backbone.js
aurelia
chrome devtools
agile 
ui
typescript
reactjs
github
es7
photoshop
adobe illustrator
wordpress
version control
java
python
ruby
.net
c++
perl
php
postgres sql
mysql
mongodb
oracle
redis
sql server
docker
kubernetes
nginx
node.js
apache
nginx
iis servers
microsoft iis
rest api
soap api
express.js
phoenix (elixir)
scrum
ruby on rails
laravel
flask
asp.net Core
spring mvc
codeigniter
cakephp
symfony
play framework
c#
ux
microservices
npm
yarn
graphql
mobx
redux
orm
dynamodb
cicd
go
java
nosql
sql
kotlin
android studio
flutter
material design
python
ionic
linux
windows
xml
firebase
sqlite
rdbms
xcode
machine learning
r
java
python
c++
torch
theano
tensorflow
swift
scikit-learn
pybrain
keras
ibm watson
deeplearning
matlab
linear regression
logistic regression
decision trees
random forests
svm
k-nearest neighbors
xgboost
clustering
neural networks
naive bayes
apache spark
hadoop
sql
numpy
pandas
pytorch
opencv
nltk
bert
istm
cnn
caffe
mxnet
matplotlib
aws lambda
nosql
